학생ID,이름,학기,국어_중간고사,국어_기말고사,수학_중간고사,수학_기말고사,영어_중간고사,영어_기말고사,과학_중간고사,과학_기말고사
7,이예준,5,94,69,60,82,64,97,95,98
7,이예준,6,85,99,98,88,66,76,60,69
8,김하은,1,78,87,81,69,66,89,65,74
8,김하은,2,78,90,97,99,76,80,94,96
8,김하은,3,60,89,89,70,72,76,82,68
8,김하은,4,92,73,68,85,81,71,86,92
8,김하은,5,80,96,75,98,61,99,80,92
8,김하은,6,61,95,71,99,60,70,99,81
9,강지우,1,84,100,79,72,75,95,79,82
9,강지우,2,65,84,62,97,96,71,69,89
9,강지우,3,60,99,66,78,88,92,98,80
9,강지우,4,63,81,97,98,72,95,94,81
9,강지우,5,69,79,78,83,68,100,93,83
9,강지우,6,86,74,99,70,75,97,75,88
10,정예준,1,67,76,76,64,63,63,91,63
10,정예준,2,62,92,74,74,61,95,64,68
10,정예준,3,83,74,100,94,74,76,62,75
10,정예준,4,67,77,86,73,61,67,88,88
10,정예준,5,62,98,63,68,73,78,68,75
10,정예준,6,91,74,90,76,76,74,86,75
11,윤하은,1,64,95,84,65,80,90,69,77
11,윤하은,2,86,68,72,65,95,60,81,100
11,윤하은,3,90,70,75,61,64,94,94,74
11,윤하은,4,91,99,89,80,60,77,78,62
11,윤하은,5,70,65,68,60,68,94,88,82
11,윤하은,6,98,62,63,61,78,92,99,68
12,강하은,1,74,86,77,91,68,81,95,99
12,강하은,2,84,100,80,79,94,64,84,99
12,강하은,3,87,99,67,68,89,67,94,83
12,강하은,4,97,69,97,98,93,85,97,94
12,강하은,5,79,79,81,63,79,99,79,84
12,강하은,6,75,83,62,90,62,99,78,92
13,장지민,1,81,69,79,80,84,81,71,73
13,장지민,2,99,64,73,90,98,96,93,61
13,장지민,3,69,61,61,100,98,66,86,99
13,장지민,4,67,96,65,75,61,64,98,86
13,장지민,5,83,98,84,94,77,100,87,60
13,장지민,6,67,88,80,66,68,61,74,95
14,이도윤,1,76,69,74,91,79,99,90,75
14,이도윤,2,73,76,96,88,80,85,72,69
14,이도윤,3,78,64,81,84,74,76,62,81
14,이도윤,4,71,69,60,85,99,82,69,69
14,이도윤,5,68,99,83,70,69,90,70,65
14,이도윤,6,60,77,65,61,65,90,97,62
15,이지민,1,93,93,89,74,83,69,75,90
15,이지민,2,74,66,88,66,99,91,99,78
15,이지민,3,83,99,96,70,78,73,97,98
15,이지민,4,100,64,62,98,93,70,64,68
15,이지민,5,91,62,81,80,76,92,65,76
15,이지민,6,93,68,79,69,81,74,88,82
16,이민준,1,93,75,84,66,98,79,74,73
16,이민준,2,89,93,80,62,60,81,92,69
16,이민준,3,67,88,93,88,62,64,72,75
16,이민준,4,86,78,73,87,84,86,72,94
16,이민준,5,94,60,96,96,100,83,67,72
16,이민준,6,60,60,73,80,74,80,99,71
17,김지민,1,96,90,75,99,83,77,60,66
17,김지민,2,66,96,92,78,74,88,79,79
17,김지민,3,70,100,82,83,82,94,65,97
17,김지민,4,72,71,93,89,100,92,75,83
17,김지민,5,96,90,84,72,67,77,93,92
17,김지민,6,71,84,73,79,67,68,60,64
18,강도윤,1,95,66,93,88,75,77,74,63
18,강도윤,2,68,96,77,81,63,73,64,64
18,강도윤,3,72,92,85,72,60,95,97,70
18,강도윤,4,63,73,75,95,95,78,73,65
18,강도윤,5,96,87,69,79,82,64,86,88
18,강도윤,6,81,86,97,90,87,97,82,80
19,김서준,1,72,98,80,91,99,64,86,76
19,김서준,2,96,79,98,69,79,68,100,64
19,김서준,3,63,87,79,75,95,79,70,66
19,김서준,4,69,95,63,90,62,65,87,67
19,김서준,5,96,92,82,82,61,60,65,78
19,김서준,6,86,93,63,100,66,77,64,97
20,조지민,1,93,81,87,79,100,68,93,92
20,조지민,2,68,66,70,88,62,90,86,76
20,조지민,3,66,70,75,62,71,82,73,80
20,조지민,4,96,77,68,71,68,91,99,89
20,조지민,5,75,83,66,94,76,100,65,91
20,조지민,6,72,79,99,60,71,61,64,89
21,김예준,1,65,94,76,87,97,65,66,69
21,김예준,2,68,84,96,82,81,60,88,81
21,김예준,3,79,79,82,60,70,88,91,90
21,김예준,4,65,74,90,69,88,64,81,75
21,김예준,5,77,93,80,69,99,77,60,97
21,김예준,6,79,85,88,76,91,65,84,70
22,장예준,1,90,83,61,91,96,75,90,85
22,장예준,2,60,96,99,79,99,87,70,83
22,장예준,3,61,65,77,69,94,66,71,61
22,장예준,4,70,81,80,81,63,84,71,94
22,장예준,5,66,97,64,75,79,70,99,97
22,장예준,6,66,61,67,83,90,71,69,93
23,윤민준,1,84,86,76,62,74,78,67,75
23,윤민준,2,97,80,60,63,90,79,76,92
23,윤민준,3,87,77,76,92,79,86,92,61
23,윤민준,4,80,83,97,95,60,96,85,93
23,윤민준,5,86,83,73,82,68,82,92,61
23,윤민준,6,68,67,72,71,64,75,65,77
24,최지민,1,73,65,94,91,91,94,68,100
24,최지민,2,87,68,77,60,99,95,99,90
24,최지민,3,84,85,100,93,66,69,82,66
24,최지민,4,77,63,91,84,65,68,77,73
24,최지민,5,82,60,83,66,86,64,63,75
24,최지민,6,75,64,74,88,89,88,71,83
25,조지우,1,69,92,86,80,99,69,84,94
25,조지우,2,95,98,63,70,85,79,75,72
25,조지우,3,80,90,60,82,84,98,88,87
25,조지우,4,99,100,84,67,93,69,67,64
25,조지우,5,97,92,100,74,65,69,66,64
25,조지우,6,74,67,79,84,94,100,90,81
26,장서연,1,65,99,60,83,63,65,93,98
26,장서연,2,79,100,75,64,66,67,74,68
26,장서연,3,88,74,73,100,99,80,67,91
26,장서연,4,62,69,87,91,92,71,75,83
26,장서연,5,79,68,68,77,94,92,96,83
26,장서연,6,100,98,87,86,75,67,93,65
27,강수아,1,89,72,94,97,89,84,71,93
27,강수아,2,60,84,60,95,74,83,93,90
27,강수아,3,60,84,77,81,62,73,67,94
27,강수아,4,67,85,92,96,100,95,99,92
27,강수아,5,71,93,87,85,77,63,93,73
27,강수아,6,82,100,73,66,99,96,72,82
28,최민준,1,86,76,92,67,72,81,83,91
28,최민준,2,95,70,72,67,92,72,93,85
28,최민준,3,99,68,71,87,66,64,89,62
28,최민준,4,71,94,74,88,81,72,63,96
28,최민준,5,87,72,69,70,69,97,61,74
28,최민준,6,74,83,70,74,92,82,85,77
29,임서연,1,88,91,88,91,60,98,94,72
29,임서연,2,88,75,97,90,74,88,73,75
29,임서연,3,89,74,90,92,73,69,86,93
29,임서연,4,83,62,100,80,61,94,91,76
29,임서연,5,72,92,80,83,94,84,69,79
29,임서연,6,61,85,63,60,80,84,81,78
30,김하은,1,75,78,79,88,64,92,85,65
30,김하은,2,63,81,78,77,74,74,99,93
30,김하은,3,69,68,99,67,69,82,80,81
30,김하은,4,73,95,94,76,69,70,68,60
30,김하은,5,98,92,82,89,82,75,100,65
30,김하은,6,77,99,89,62,62,96,81,62
31,최수아,1,92,86,85,89,67,79,67,70
31,최수아,2,92,78,92,96,98,71,89,72
31,최수아,3,62,98,78,87,85,78,79,73
31,최수아,4,71,89,91,60,62,98,100,62
31,최수아,5,65,91,63,84,98,93,63,87
31,최수아,6,63,91,80,68,89,68,99,64
32,장지민,1,91,74,64,70,62,79,67,67
32,장지민,2,69,61,64,85,64,90,78,91
32,장지민,3,87,79,86,61,82,68,73,83
32,장지민,4,68,78,90,68,72,62,69,97
32,장지민,5,85,95,69,62,87,76,79,64
32,장지민,6,63,92,99,75,66,99,64,83
33,강서준,1,66,82,94,62,76,86,70,82
33,강서준,2,92,93,67,81,98,99,64,68
33,강서준,3,60,68,74,76,93,77,75,70
33,강서준,4,90,85,80,91,80,74,69,67
33,강서준,5,89,72,78,73,86,85,96,94
33,강서준,6,88,80,93,86,75,63,86,82
34,윤민준,1,94,63,86,75,63,69,92,89
34,윤민준,2,93,94,98,69,60,79,78,65
34,윤민준,3,90,81,76,90,73,70,72,66
34,윤민준,4,86,70,82,67,95,68,75,75
34,윤민준,5,94,81,84,70,68,94,89,72
34,윤민준,6,100,72,73,72,84,74,63,76
35,장도윤,1,84,87,72,73,97,83,80,86
35,장도윤,2,79,61,86,85,65,72,74,75
35,장도윤,3,90,91,84,78,73,63,83,82
35,장도윤,4,89,60,92,62,69,83,77,94
35,장도윤,5,69,63,89,61,98,74,82,66
35,장도윤,6,64,66,94,74,77,82,78,84
36,최도윤,1,73,84,75,74,75,94,96,88
36,최도윤,2,89,94,68,88,81,80,70,69
36,최도윤,3,76,99,73,93,64,100,66,69
36,최도윤,4,72,64,94,92,61,81,91,88
36,최도윤,5,93,66,76,99,74,70,62,98
36,최도윤,6,93,77,94,65,73,90,79,60
37,최예준,1,95,63,80,89,91,94,96,62
37,최예준,2,66,91,65,65,79,100,74,100
37,최예준,3,74,86,66,81,77,79,96,93
37,최예준,4,92,60,80,72,73,71,91,74
37,최예준,5,76,97,75,98,66,68,75,67
37,최예준,6,90,75,64,70,87,62,85,73
38,박민준,1,63,90,62,75,96,81,79,61
38,박민준,2,60,97,100,84,90,91,73,80
38,박민준,3,92,91,74,60,61,90,61,69
38,박민준,4,92,71,87,89,81,73,78,97
38,박민준,5,90,67,77,86,80,96,81,94
38,박민준,6,72,84,62,65,80,68,81,61
39,박도윤,1,88,91,60,100,82,61,89,62
39,박도윤,2,72,91,68,87,72,96,71,98
39,박도윤,3,71,90,73,83,91,67,63,99
39,박도윤,4,75,88,78,60,62,78,69,100
39,박도윤,5,93,82,85,93,66,73,73,83
39,박도윤,6,66,83,70,63,100,88,71,82
40,임지우,1,73,63,71,78,78,98,90,71
40,임지우,2,73,87,84,78,84,76,63,81
40,임지우,3,75,78,89,83,73,61,82,96
40,임지우,4,76,80,97,68,74,92,86,78
40,임지우,5,99,60,95,65,67,90,62,96
40,임지우,6,99,64,92,75,97,88,80,89
41,장예준,1,96,93,91,67,90,66,77,88
41,장예준,2,73,92,99,81,67,100,62,82
41,장예준,3,95,86,90,95,84,98,65,96
41,장예준,4,61,69,75,76,94,92,81,91
41,장예준,5,92,75,67,92,82,85,66,71
41,장예준,6,81,66,62,97,92,90,83,80
42,김지우,1,99,62,94,61,68,69,74,97
42,김지우,2,68,95,94,73,70,81,65,98
42,김지우,3,89,68,63,85,74,71,75,74
42,김지우,4,76,64,90,99,86,98,66,97
42,김지우,5,76,92,91,93,80,84,72,67
42,김지우,6,100,74,99,67,97,67,79,89
43,윤서연,1,83,89,70,93,79,98,84,97
43,윤서연,2,91,84,69,100,90,63,85,66
43,윤서연,3,73,63,64,62,79,91,83,83
43,윤서연,4,82,72,92,91,69,68,86,80
43,윤서연,5,98,73,92,100,84,65,100,80
43,윤서연,6,65,88,77,67,79,94,72,94
44,조서연,1,79,92,87,96,75,90,70,88
44,조서연,2,65,79,81,88,72,78,100,83
44,조서연,3,82,85,71,60,66,61,90,95
44,조서연,4,94,94,80,77,84,99,76,60
44,조서연,5,67,85,90,95,80,85,76,91
44,조서연,6,66,87,98,94,65,82,87,77
45,이예준,1,83,65,67,81,61,98,70,91
45,이예준,2,78,88,84,60,69,74,89,72
45,이예준,3,96,78,77,85,73,92,94,92
45,이예준,4,64,63,86,100,92,76,84,92
45,이예준,5,82,69,84,89,65,84,78,65
45,이예준,6,95,83,92,64,88,64,89,76
46,박수아,1,93,74,100,83,98,76,71,81
46,박수아,2,80,84,99,74,66,65,90,100
46,박수아,3,100,89,98,70,78,97,68,61
46,박수아,4,76,97,65,66,65,77,72,94
46,박수아,5,90,76,95,75,71,69,95,69
46,박수아,6,64,82,84,86,73,97,76,68
47,윤서준,1,86,65,100,77,96,81,62,99
47,윤서준,2,70,62,86,86,66,92,97,92
47,윤서준,3,79,83,88,72,100,85,65,89
47,윤서준,4,91,74,89,83,80,77,99,84
47,윤서준,5,92,79,73,86,66,96,96,95
47,윤서준,6,75,88,99,98,79,85,85,90
48,강도윤,1,63,90,88,81,96,95,71,93
48,강도윤,2,83,92,68,95,72,77,68,92
48,강도윤,3,80,73,87,90,80,100,78,100
48,강도윤,4,69,76,75,69,92,70,98,94
48,강도윤,5,64,75,78,69,93,79,98,69
48,강도윤,6,62,100,83,80,78,83,74,66
49,장도윤,1,96,61,73,75,74,97,62,86
49,장도윤,2,64,66,74,100,96,70,81,99
49,장도윤,3,84,68,76,80,94,98,92,76
49,장도윤,4,86,86,97,89,94,64,85,98
49,장도윤,5,70,63,74,99,82,84,81,81
49,장도윤,6,99,88,93,75,70,68,81,71
50,강서준,1,78,91,99,75,100,63,98,76
50,강서준,2,96,82,66,92,75,78,79,74
50,강서준,3,73,89,84,90,65,93,65,62
50,강서준,4,99,67,91,70,96,87,67,63
50,강서준,5,80,65,70,77,97,87,74,71
50,강서준,6,66,81,75,97,84,94,76,93
51,윤은서,1,88,96,63,78,77,99,92,79
51,윤은서,2,76,85,96,82,74,73,68,91
51,윤은서,3,81,87,72,65,95,71,70,69
51,윤은서,4,84,60,60,60,98,78,71,74
51,윤은서,5,61,90,60,84,83,76,63,95
51,윤은서,6,91,70,78,74,63,83,73,69
52,이지우,1,63,92,95,82,76,90,74,99
52,이지우,2,65,87,81,92,65,66,77,82
52,이지우,3,72,100,72,88,95,66,77,83
52,이지우,4,60,77,93,66,93,77,64,61
52,이지우,5,89,96,98,81,95,90,80,78
52,이지우,6,69,94,95,62,67,62,72,72
53,강지민,1,67,81,66,73,96,93,61,76
53,강지민,2,83,66,66,97,70,70,65,92
53,강지민,3,81,61,72,81,73,82,74,100
53,강지민,4,91,71,83,66,88,76,77,79
53,강지민,5,96,86,98,75,78,74,85,95
53,강지민,6,80,93,87,86,66,96,62,67
54,최예준,1,67,65,84,91,73,95,68,77
54,최예준,2,82,88,93,71,85,73,71,78
54,최예준,3,68,70,88,84,89,97,96,87
54,최예준,4,78,85,60,98,85,76,79,78
54,최예준,5,82,69,71,96,75,94,94,90
54,최예준,6,94,93,93,77,91,69,97,60
55,강서연,1,88,74,82,88,98,95,83,83
55,강서연,2,66,69,75,93,93,82,89,94
55,강서연,3,91,81,99,99,66,95,71,99
55,강서연,4,72,77,94,85,73,84,66,65
55,강서연,5,87,64,62,62,81,90,94,86
55,강서연,6,83,76,64,87,88,91,89,71
56,장지우,1,82,94,68,84,95,66,94,74
56,장지우,2,89,68,94,67,69,85,67,80
56,장지우,3,88,67,87,98,79,78,94,77
56,장지우,4,88,99,86,66,88,60,85,98
56,장지우,5,90,73,94,87,62,71,95,75
56,장지우,6,88,83,62,85,81,91,77,89
57,정서준,1,65,63,99,95,72,99,80,85
57,정서준,2,87,64,98,69,87,94,76,66
57,정서준,3,77,78,81,88,74,74,93,100
57,정서준,4,86,73,81,84,60,64,67,92
57,정서준,5,64,80,87,66,92,94,67,81
57,정서준,6,84,62,66,81,89,75,87,71
58,김하은,1,97,73,98,62,70,81,67,99
58,김하은,2,96,70,84,74,72,60,95,95
58,김하은,3,69,87,65,69,83,74,95,96
58,김하은,4,66,73,80,94,74,73,97,65
58,김하은,5,83,81,95,60,63,88,99,92
58,김하은,6,81,92,91,81,63,71,83,60
59,장은서,1,72,100,76,98,83,95,97,67
59,장은서,2,89,93,72,78,68,69,84,92
59,장은서,3,60,91,63,94,74,97,62,93
59,장은서,4,100,99,96,76,86,74,99,80
59,장은서,5,71,62,74,76,84,64,65,97
59,장은서,6,65,93,78,63,74,80,88,94
60,조하은,1,77,84,100,87,74,72,89,90
60,조하은,2,69,90,64,89,72,71,74,89
60,조하은,3,70,72,88,61,98,96,88,86
60,조하은,4,79,99,84,65,86,93,68,97
60,조하은,5,100,79,72,67,100,86,91,89
60,조하은,6,61,82,80,77,80,80,72,76
61,김지민,1,69,74,81,72,60,70,78,96
61,김지민,2,75,70,68,91,62,96,92,69
61,김지민,3,73,70,61,62,81,90,66,91
61,김지민,4,80,99,63,77,76,70,93,93
61,김지민,5,72,73,98,94,68,67,88,60
61,김지민,6,68,99,75,79,67,62,85,88
62,임지우,1,69,89,95,73,76,83,77,60
62,임지우,2,63,76,64,70,62,99,86,75
62,임지우,3,82,77,64,90,83,69,97,90
62,임지우,4,75,62,70,60,74,64,71,71
62,임지우,5,88,94,70,93,74,82,97,99
62,임지우,6,80,64,92,74,74,75,79,62
63,장도윤,1,95,81,93,99,75,83,91,93
63,장도윤,2,80,91,91,66,77,63,66,62
63,장도윤,3,89,70,82,62,98,79,74,93
63,장도윤,4,61,75,71,67,61,71,75,93
63,장도윤,5,65,63,78,92,91,66,95,89
63,장도윤,6,74,93,68,88,94,91,70,88
64,윤은서,1,63,90,99,85,99,82,73,88
64,윤은서,2,75,71,99,88,85,60,83,83
64,윤은서,3,82,85,63,90,89,79,68,100
64,윤은서,4,71,66,69,60,68,78,78,60
64,윤은서,5,82,69,93,68,83,82,79,75
64,윤은서,6,60,76,60,95,80,72,74,94
65,장지우,1,84,65,99,66,76,76,86,63
65,장지우,2,64,95,73,96,68,64,60,71
65,장지우,3,89,95,70,94,60,76,92,98
65,장지우,4,82,77,73,67,91,96,94,75
65,장지우,5,74,75,94,72,68,87,78,73
65,장지우,6,84,98,72,81,79,77,89,62
66,장예준,1,89,92,68,97,87,94,86,71
66,장예준,2,97,69,75,78,77,97,88,71
66,장예준,3,80,74,97,73,100,74,73,70
66,장예준,4,91,98,98,97,89,96,80,90
66,장예준,5,99,72,64,61,71,67,74,72
66,장예준,6,83,65,66,84,67,95,72,66
67,조도윤,1,70,87,90,65,81,91,99,60
67,조도윤,2,80,87,88,70,92,79,75,60
67,조도윤,3,81,76,99,73,70,77,95,93
67,조도윤,4,65,65,89,88,68,99,68,74
67,조도윤,5,82,89,61,72,72,96,96,83
67,조도윤,6,67,71,82,96,62,82,89,87
68,강도윤,1,95,71,77,73,80,82,76,78
68,강도윤,2,68,79,71,79,65,74,87,92
68,강도윤,3,72,65,66,93,60,64,77,73
68,강도윤,4,71,72,93,75,68,77,80,70
68,강도윤,5,73,65,70,92,69,64,66,68
68,강도윤,6,77,77,81,100,88,62,67,74
69,김서준,1,78,79,61,78,76,61,96,71
69,김서준,2,76,71,67,89,97,89,94,99
69,김서준,3,76,68,86,98,70,72,91,98
69,김서준,4,64,90,67,80,96,98,69,81
69,김서준,5,100,92,99,68,66,87,100,64
69,김서준,6,82,98,85,87,71,96,81,81
70,임예준,1,60,69,70,79,89,64,98,81
70,임예준,2,63,80,89,95,71,77,89,97
70,임예준,3,79,70,94,92,60,85,61,99
70,임예준,4,76,74,89,84,89,87,76,89
70,임예준,5,71,76,74,85,95,62,63,74
70,임예준,6,87,64,98,84,77,65,97,64
71,임서준,1,97,60,71,80,85,92,93,92
71,임서준,2,93,98,87,68,90,76,81,69
71,임서준,3,72,70,100,79,71,92,83,83
71,임서준,4,77,80,63,86,82,76,63,66
71,임서준,5,82,68,86,86,87,71,99,67
71,임서준,6,99,76,99,88,93,83,67,72
72,임은서,1,100,73,82,95,77,64,63,94
72,임은서,2,90,69,62,74,60,97,68,77
72,임은서,3,82,67,80,70,88,68,100,78
72,임은서,4,85,96,80,82,93,96,86,70
72,임은서,5,97,85,75,90,84,98,69,60
72,임은서,6,66,73,75,99,98,69,85,61
73,최하은,1,65,89,99,74,64,94,95,98
73,최하은,2,75,91,61,90,88,91,75,83
73,최하은,3,96,75,85,96,67,76,92,81
73,최하은,4,70,100,97,84,85,99,96,70
73,최하은,5,99,98,67,77,67,100,89,87
73,최하은,6,79,94,77,87,63,93,69,92
74,조도윤,1,76,72,87,65,99,85,77,71
74,조도윤,2,78,72,71,64,84,88,80,77
74,조도윤,3,60,98,85,95,64,63,85,81
74,조도윤,4,62,72,75,91,66,65,66,94
74,조도윤,5,66,98,100,82,67,97,64,66
74,조도윤,6,78,69,71,62,69,89,92,90
75,윤은서,1,70,62,84,69,73,80,86,72
75,윤은서,2,72,80,98,90,89,98,94,61
75,윤은서,3,83,82,94,63,76,94,76,96
75,윤은서,4,76,65,71,93,93,79,77,100
75,윤은서,5,91,61,79,83,86,100,81,83
75,윤은서,6,96,75,72,98,87,84,78,88
76,장예준,1,95,100,77,87,96,99,62,78
76,장예준,2,72,75,77,64,99,88,74,63
76,장예준,3,80,79,98,61,84,72,74,77
76,장예준,4,79,98,95,87,86,96,77,82
76,장예준,5,85,78,91,78,90,91,99,66
76,장예준,6,68,100,71,65,74,92,68,84
77,윤지우,1,61,65,62,63,69,88,60,73
77,윤지우,2,94,62,71,60,61,85,78,78
77,윤지우,3,83,98,69,77,77,85,91,95
77,윤지우,4,95,87,88,63,82,65,87,95
77,윤지우,5,65,63,100,78,64,79,88,96
77,윤지우,6,66,78,64,70,71,65,75,78
78,임은서,1,67,92,83,97,75,78,66,75
78,임은서,2,87,99,69,96,99,76,66,93
78,임은서,3,70,71,97,63,72,91,64,95
78,임은서,4,82,83,74,74,78,70,72,88
78,임은서,5,74,64,87,64,92,88,95,74
78,임은서,6,93,87,96,80,79,72,93,100
79,조서연,1,67,98,68,79,82,98,92,67
79,조서연,2,73,78,90,86,69,89,72,76
79,조서연,3,76,91,89,77,92,67,60,77
79,조서연,4,80,81,86,79,86,88,85,70
79,조서연,5,73,64,60,64,82,93,66,61
79,조서연,6,79,80,81,62,98,84,84,80
80,정예준,1,76,68,94,89,75,72,99,81
80,정예준,2,79,68,85,85,65,85,99,80
80,정예준,3,91,77,62,62,85,64,84,62
80,정예준,4,60,62,69,80,92,83,72,90
80,정예준,5,69,96,70,93,61,86,66,79
80,정예준,6,87,71,93,61,84,82,67,97
81,김은서,1,71,98,65,63,99,87,94,96
81,김은서,2,89,65,92,61,79,100,93,78
81,김은서,3,69,91,83,81,71,88,83,68
81,김은서,4,89,100,85,86,73,82,66,62
81,김은서,5,70,83,61,90,78,100,74,94
81,김은서,6,95,65,93,92,70,95,82,72
82,박서준,1,78,95,70,87,74,84,77,68
82,박서준,2,82,93,79,85,77,62,68,95
82,박서준,3,79,96,78,93,88,63,79,94
82,박서준,4,84,76,93,64,69,81,72,80
82,박서준,5,90,98,69,99,84,73,72,88
82,박서준,6,95,68,73,80,96,68,79,63
83,강도윤,1,60,72,97,69,98,90,62,77
83,강도윤,2,87,64,85,96,76,68,66,62
83,강도윤,3,82,100,99,91,75,72,96,64
83,강도윤,4,76,89,72,75,71,85,60,99
83,강도윤,5,90,72,81,64,73,81,73,90
83,강도윤,6,74,87,62,62,94,70,68,75
84,정예준,1,100,92,73,99,80,91,72,97
84,정예준,2,75,88,85,85,76,99,87,94
84,정예준,3,93,84,87,90,89,78,60,84
84,정예준,4,84,96,81,79,90,69,68,84
84,정예준,5,67,72,80,70,91,82,64,81
84,정예준,6,96,61,76,68,97,79,64,91
85,박수아,1,87,98,86,76,80,65,65,70
85,박수아,2,84,74,98,81,76,82,87,65
85,박수아,3,87,69,87,97,67,83,81,68
85,박수아,4,78,87,81,72,87,65,75,64
85,박수아,5,60,83,62,90,76,77,61,78
85,박수아,6,97,77,91,69,92,60,79,81
86,조지민,1,61,81,79,79,88,91,62,79
86,조지민,2,76,75,65,76,65,65,64,71
86,조지민,3,70,76,82,70,91,65,97,98
86,조지민,4,97,97,88,95,89,82,85,74
86,조지민,5,63,70,87,77,66,90,100,70
86,조지민,6,68,95,80,90,87,76,94,78
87,이지우,1,82,88,64,64,63,81,76,72
87,이지우,2,60,99,70,73,77,92,71,88
87,이지우,3,82,64,89,72,83,81,62,84
87,이지우,4,84,60,95,95,91,67,88,85
87,이지우,5,76,77,93,71,99,89,74,80
87,이지우,6,74,79,93,92,80,89,82,75
88,이서준,1,75,88,68,98,92,94,90,100
88,이서준,2,94,93,80,76,92,73,67,86
88,이서준,3,75,74,69,100,80,73,94,82
88,이서준,4,68,72,80,100,89,72,70,86
88,이서준,5,95,80,100,95,71,81,63,81
88,이서준,6,85,92,78,83,80,90,96,98
89,최은서,1,65,98,85,84,100,69,87,81
89,최은서,2,100,83,96,95,87,64,96,75
89,최은서,3,83,85,88,89,67,98,85,99
89,최은서,4,83,67,60,75,67,88,64,80
89,최은서,5,81,95,81,94,88,61,100,71
89,최은서,6,99,70,76,83,72,61,68,80
90,윤지우,1,87,85,95,72,74,91,76,63
90,윤지우,2,60,97,85,95,81,64,61,72
90,윤지우,3,85,75,70,88,60,92,65,99
90,윤지우,4,75,94,80,97,82,75,84,82
90,윤지우,5,96,79,61,78,93,93,79,63
90,윤지우,6,98,65,92,94,79,89,67,87
91,정서준,1,71,74,99,80,74,71,89,94
91,정서준,2,87,77,70,88,97,67,91,83
91,정서준,3,78,61,66,84,67,92,95,93
91,정서준,4,83,82,60,88,90,83,67,81
91,정서준,5,96,74,82,71,74,86,94,98
91,정서준,6,76,97,76,81,91,65,96,82
92,정하은,1,89,65,73,93,90,68,93,83
92,정하은,2,99,86,65,98,97,72,86,72
92,정하은,3,95,89,89,85,99,63,94,63
92,정하은,4,91,81,81,78,78,84,85,93
92,정하은,5,76,96,100,64,94,77,80,70
92,정하은,6,87,67,62,93,96,91,60,73
93,이지민,1,68,85,72,95,94,75,89,93
93,이지민,2,83,71,76,78,69,83,95,97
93,이지민,3,95,87,60,87,82,64,75,97
93,이지민,4,84,99,89,69,88,97,78,65
93,이지민,5,89,68,60,73,90,93,74,62
93,이지민,6,74,95,94,69,74,76,68,99
94,이서연,1,98,99,94,61,73,67,76,66
94,이서연,2,71,77,66,70,69,88,60,64
94,이서연,3,89,90,93,61,93,97,99,60
94,이서연,4,95,93,94,79,83,91,77,68
94,이서연,5,61,97,68,95,63,88,95,96
94,이서연,6,68,92,78,96,83,92,100,72
95,정은서,1,88,66,65,91,71,65,75,62
95,정은서,2,89,100,67,91,66,99,66,85
95,정은서,3,98,90,76,61,91,93,77,84
95,정은서,4,71,99,79,63,68,93,60,92
95,정은서,5,99,75,84,61,61,69,65,86
95,정은서,6,99,70,65,96,87,72,89,76
96,정서준,1,100,89,91,73,100,67,100,72
